parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
13210820,"Fresh corn custard, Puerto Rican style",2005,"Spices, caraway seed",1.117
13210820,"Fresh corn custard, Puerto Rican style",2047,"Salt, table",7.5
13210820,"Fresh corn custard, Puerto Rican style",11167,"Corn, sweet, yellow, raw",217.5
13210820,"Fresh corn custard, Puerto Rican style",12117,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",480
13210820,"Fresh corn custard, Puerto Rican style",19335,"Sugars, granulated",150
72107201,"Collards, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1
72107201,"Collards, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72107201,"Collards, cooked, from fresh, NS as to fat added in cooking",11162,"Collards, cooked, boiled, drained, without salt",190
72107229,"Collards, cooked, from fresh, made with margarine",2047,"Salt, table",1
72107229,"Collards, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72107229,"Collards, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72107229,"Collards, cooked, from fresh, made with margarine",11162,"Collards, cooked, boiled, drained, without salt",190
72110201,"Cress, cooked, from fresh, NS as to fat added in cooking",2047,"Salt, table",1.002
72110201,"Cress, cooked, from fresh, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72110201,"Cress, cooked, from fresh, NS as to fat added in cooking",11204,"Cress, garden, cooked, boiled, drained, without salt",135
72110211,"Cress, cooked, from fresh, fat not added in cooking",2047,"Salt, table",1
72110211,"Cress, cooked, from fresh, fat not added in cooking",11204,"Cress, garden, cooked, boiled, drained, without salt",135
72110233,"Cress, cooked, from fresh, made with oil",2047,"Salt, table",1
72110233,"Cress, cooked, from fresh, made with oil",4322,"Vegetable oil, averaged",4.542
72110233,"Cress, cooked, from fresh, made with oil",11204,"Cress, garden, cooked, boiled, drained, without salt",135
72110234,"Cress, cooked, from fresh, made with butter",1001,"Butter, salted",4.729
72110234,"Cress, cooked, from fresh, made with butter",2047,"Salt, table",1
72110234,"Cress, cooked, from fresh, made with butter",11204,"Cress, garden, cooked, boiled, drained, without salt",135
72110235,"Cress, cooked, from fresh, made with margarine",2047,"Salt, table",1
72110235,"Cress, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72110235,"Cress, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72110235,"Cress, cooked, from fresh, made with margarine",11204,"Cress, garden, cooked, boiled, drained, without salt",135
