parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",1298,"Yogurt, frozen, flavors other than chocolate, lowfat",100
11460160,"Yogurt, frozen, chocolate, lowfat milk",1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",81.8
11460160,"Yogurt, frozen, chocolate, lowfat milk",19166,"Cocoa, dry powder, unsweetened, processed with alkali",5.2
11460160,"Yogurt, frozen, chocolate, lowfat milk",19335,"Sugars, granulated",13
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",1298,"Yogurt, frozen, flavors other than chocolate, lowfat",100
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",1118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",44
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",19335,"Sugars, granulated",13
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",42185,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",44
11460200,"Yogurt, frozen, chocolate, nonfat milk",42185,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",100
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",19088,"Ice creams, vanilla, light",70
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",19263,"Frozen novelties, fruit and juice bars",30
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",1235,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",100
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",42185,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",100
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",1235,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",100
11460420,"Yogurt, frozen, NS as to flavor, whole milk",42187,"Frozen yogurts, flavors other than chocolate",100
11460430,"Yogurt, frozen, chocolate, whole milk",42186,"Frozen yogurts, chocolate",100
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",42187,"Frozen yogurts, flavors other than chocolate",100
11461000,"Yogurt, frozen, chocolate-coated",4659,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",11.9
11461000,"Yogurt, frozen, chocolate-coated",19293,"Frozen yogurts, vanilla, soft-serve",77.6
11461000,"Yogurt, frozen, chocolate-coated",19335,"Sugars, granulated",9.8
11461000,"Yogurt, frozen, chocolate-coated",19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",0.7
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",75.3
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",18271,"Ice cream cones, cake or wafer-type",4.7
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",61.5954
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",18271,"Ice cream cones, cake or wafer-type",4.7
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",19166,"Cocoa, dry powder, unsweetened, processed with alkali",3.9156
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",19335,"Sugars, granulated",9.789
13127000,"Dippin' Dots, flash frozen ice cream snacks, flavors other than chocolate",19095,"Ice creams, vanilla",100
13127010,"Dippin' Dots, flash frozen ice cream snacks, chocolate",19270,"Ice creams, chocolate",100
13142000,"Milk dessert bar or stick, frozen, with coconut",1053,"Cream, fluid, heavy whipping",2
13142000,"Milk dessert bar or stick, frozen, with coconut",1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",12
13142000,"Milk dessert bar or stick, frozen, with coconut",1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",15
13142000,"Milk dessert bar or stick, frozen, with coconut",12109,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",16.5
13142000,"Milk dessert bar or stick, frozen, with coconut",14429,"Water, tap, municipal",48.8
13142000,"Milk dessert bar or stick, frozen, with coconut",19335,"Sugars, granulated",5.7
13161000,"Milk dessert bar, frozen, made from lowfat milk",1244,"Milk dessert bar, frozen, made from lowfat milk",100
13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4651,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",0.6
13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",19096,"Ice creams, vanilla, light, soft-serve",76.2
13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",19335,"Sugars, granulated",7.1
13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",1.6
