parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11340000,"Imitation milk, non-soy, sweetened",43543,"Milk, imitation, non-soy",100
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",1298,"Yogurt, frozen, flavors other than chocolate, lowfat",100
11531500,"Eggnog, lowfat / light",1123,"Egg, whole, raw, fresh",200
11531500,"Eggnog, lowfat / light",1174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",976
11531500,"Eggnog, lowfat / light",2052,"Vanilla extract, imitation, no alcohol",4.333
11531500,"Eggnog, lowfat / light",19336,"Sugars, powdered",30
11830100,"Hot chocolate / Cocoa, dry mix, not reconstituted",14192,"Beverages, Cocoa mix, powder",100
11830115,"Hot chocolate / Cocoa, dry mix, no sugar added, not reconstituted",14196,"Beverages, Cocoa mix, no sugar added, powder",100
13412000,"Milk gravy, quick gravy",1111,"Milk, averaged fat, with added vitamin A and D",610
13412000,"Milk gravy, quick gravy",2047,"Salt, table",3.714641434
13412000,"Milk gravy, quick gravy",4002,Lard,15.31374502
13412000,"Milk gravy, quick gravy",4542,"Fat, chicken",3.062749004
13412000,"Milk gravy, quick gravy",4575,"Fat, turkey",1.020916335
13412000,"Milk gravy, quick gravy",4609,"Animal fat, bacon grease",20.41832669
13412000,"Milk gravy, quick gravy",13020,"Beef, retail cuts, separable fat, cooked",10.71962151
13412000,"Milk gravy, quick gravy",20081,"Wheat flour, white, all-purpose, enriched, bleached",31.25
14650150,Cheese sauce made with lowfat cheese,1001,"Butter, salted",42.563
14650150,Cheese sauce made with lowfat cheese,1111,"Milk, averaged fat, with added vitamin A and D",488
14650150,Cheese sauce made with lowfat cheese,2030,"Spices, pepper, black",0.525
14650150,Cheese sauce made with lowfat cheese,2047,"Salt, table",3
14650150,Cheese sauce made with lowfat cheese,6971,"Sauce, worcestershire",11.458
14650150,Cheese sauce made with lowfat cheese,20081,"Wheat flour, white, all-purpose, enriched, bleached",23.438
27150190,Lobster sauce,1129,"Egg, whole, cooked, hard-boiled",50
27150190,Lobster sauce,2047,"Salt, table",6
27150190,Lobster sauce,4322,"Vegetable oil, averaged",27.25
27150190,Lobster sauce,6194,"Soup, chicken broth, ready-to-serve",240
27150190,Lobster sauce,10011,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",85.05
27150190,Lobster sauce,11215,"Garlic, raw",9
27150190,Lobster sauce,14411,"Water, tap, drinking",29.625
27150190,Lobster sauce,14553,"Beverages, Wine, non-alcoholic",30
27150190,Lobster sauce,16123,Soy sauce made from soy and wheat (shoyu),5.3
27150190,Lobster sauce,19335,"Sugars, granulated",4.167
27150190,Lobster sauce,20027,Cornstarch,8
27150200,Oyster sauce,6167,"Sauce, homemade, white, thick",250
27150200,Oyster sauce,11297,"Parsley, fresh",3.8
27150200,Oyster sauce,15170,"Mollusks, oyster, eastern, canned",248
28320130,"Ham, rice, and potato soup, Puerto Rican style",2047,"Salt, table",18
28320130,"Ham, rice, and potato soup, Puerto Rican style",10917,"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",52.5
28320130,"Ham, rice, and potato soup, Puerto Rican style",10922,"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",52.5
28320130,"Ham, rice, and potato soup, Puerto Rican style",10928,"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",52.5
28320130,"Ham, rice, and potato soup, Puerto Rican style",10935,"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",192.5
28320130,"Ham, rice, and potato soup, Puerto Rican style",11215,"Garlic, raw",6
28320130,"Ham, rice, and potato soup, Puerto Rican style",11282,"Onions, raw",110
28320130,"Ham, rice, and potato soup, Puerto Rican style",11367,"Potatoes, boiled, cooked without skin, flesh, without salt",668
28320130,"Ham, rice, and potato soup, Puerto Rican style",14411,"Water, tap, drinking",1896
28320130,"Ham, rice, and potato soup, Puerto Rican style",20345,"Rice, white, long-grain, regular, cooked, enriched, with salt",197.5
28345170,Duck soup,2047,"Salt, table",6
28345170,Duck soup,5141,"Duck, domesticated, meat only, raw",1865.5
28345170,Duck soup,11026,"Bamboo shoots, raw",75.5
28345170,Duck soup,11216,"Ginger root, raw",4.4
